	assay_description	canonical_smiles	document_journal	document_year	molecule_chembl_id	relation	standard_relation	standard_type	standard_units	standard_value	type	units	value
9885	Inhibition of CYP3A4 in pooled human liver microsomes using midazolam as substrate in presence of NADPH incubated for 10 mins by LC-MS/MS analysis	C[C@@H]1CN(c2ccc(S(C)(=O)=O)cc2)CCN1c1nccc(C(=O)NC2C3CC4CC2CC(O)(C4)C3)n1	J Med Chem	2016.0	CHEMBL4788862	>	>	IC50	nM	10000.0	IC50	uM	10.0
9886	Inhibition of CYP3A4 in pooled human liver microsomes using midazolam as substrate in presence of NADPH incubated for 10 mins by LC-MS/MS analysis	C[C@@H]1CN(c2ccc(S(C)(=O)=O)cc2F)CCN1c1nccc(C(=O)NC2C3CC4CC2CC(O)(C4)C3)n1	J Med Chem	2016.0	CHEMBL4748750	>	>	IC50	nM	10000.0	IC50	uM	10.0
9887	Inhibition of CYP3A4 (unknown origin)	Nc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cn1	J Med Chem	2018.0	CHEMBL3754515	>	>	IC50	nM	3000.0	IC50	uM	3.0
9888	Inhibition of CYP3A4 (unknown origin)	CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cc1)C(=O)O	J Med Chem	2018.0	CHEMBL4746566	>	>	IC50	nM	3000.0	IC50	uM	3.0
9889	Inhibition of CYP3A4 in human liver microsomes using midazolam as substrate incubated for 30 mins by LC-MS/MS analysis	C[C@H]1CO[C@@H]2Cn3cc(C(=O)NCc4ccc5nonc5c4)c(=O)c(O)c3C(=O)N12	Eur J Med Chem	2020.0	CHEMBL4784137	>	>	IC50	nM	10000.0	IC50	uM	10.0
9890	Inhibition of CYP3A4 in human liver microsomes using midazolam as substrate incubated for 30 mins by LC-MS/MS analysis	C[C@H]1CO[C@@H]2Cn3cc(C(=O)NCc4ccc(F)nc4F)c(=O)c(O)c3C(=O)N12	Eur J Med Chem	2020.0	CHEMBL4744587	>	>	IC50	nM	10000.0	IC50	uM	10.0
9891	Competitive inhibition of human recombinant CYP3A4 expressed in baculovirus-infected insect cells using diltiazem as substrate incubated for 15 mins followed by NADPH-generating system addition by Michaelis-Menten plot analysis	C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O	J Med Chem	2020.0	CHEMBL190461	=	=	Ki	nM	1000.0	Ki	uM	1.0
9892	Inhibition of recombinant CYP3A4 (unknown origin) in presence of BFC as substrate	Cc1nc2cc(F)c(-c3cnc(C(C)(C)O)nc3)nc2c(N[C@H](C)c2cc(C#N)ccc2F)c1Cl	J Med Chem	2020.0	CHEMBL4777447	>	>	IC50	nM	20000.0	IC50	uM	20.0
9893	Inhibition of CYP3A4 in human liver microsomes using midazolam as substrate incubated for 15 mins by LC-MS/MS analysis	C[C@H]1CCCN1C[C@@H](C)NC(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1	ACS Med Chem Lett	2021.0	CHEMBL4798111	>	>	IC50	nM	50000.0	IC50	uM	50.0
9894	Inhibition of CYP3A4 in human liver microsomes using testosterone as substrate incubated for 30 mins by LC-MS/MS analysis	C[C@H]1CCCN1C[C@@H](C)NC(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1	ACS Med Chem Lett	2021.0	CHEMBL4798111	>	>	IC50	nM	50000.0	IC50	uM	50.0
9895	Inhibition of CYP3A4 (unknown origin)	C[C@@H](NC(=O)c1ccc(F)cc1)c1ccc2c(n1)CCCN2C(=O)c1cccc(Cl)c1	ACS Med Chem Lett	2021.0	CHEMBL4744727	=	=	IC50	nM	20000.0	IC50	uM	20.0
9896	Inhibition of CYP3A4 (unknown origin)	C[C@@H](NC(=O)c1ccc(F)cc1)c1ccc2c(n1)CCCN2C(=O)OC1CC1	ACS Med Chem Lett	2021.0	CHEMBL4749009	=	=	IC50	nM	60000.0	IC50	uM	60.0
9897	Inhibition of CYP3A4 (unknown origin)	C[C@@H](NC(=O)c1ccc(F)cc1)c1ccc2c(n1)CCCN2c1ccnc(C(F)(F)F)n1	ACS Med Chem Lett	2021.0	CHEMBL4783395	=	=	IC50	nM	43000.0	IC50	uM	43.0
9898	Inhibition of CYP3A4 (unknown origin)	Cc1c(-c2cc(F)c(N)cc2F)ccc2c3ocnc3c(=O)n(C3CC3)c12	RSC Med Chem	2020.0	CHEMBL4747990	>	>	IC50	nM	30000.0	IC50	uM	30.0
9899	Inhibition of CYP3A4 (unknown origin)	Cc1c(-c2cc(F)c(N)cc2F)ccc2c3oc(CN)nc3c(=O)n(C3CC3)c12	RSC Med Chem	2020.0	CHEMBL4764598	=	=	IC50	nM	12900.0	IC50	uM	12.9
9900	Inhibition of CYP3A4 (unknown origin)	Cc1c(-c2cnc3[nH]ncc3c2)ccc2c3oc(CN)nc3c(=O)n(C3CC3)c12	RSC Med Chem	2020.0	CHEMBL4787847	=	=	IC50	nM	22600.0	IC50	uM	22.6
9901	Inhibition of CYP3A4 (unknown origin)	Cc1c(-c2ccc3[nH]ncc3c2)ccc2c3oc(CN)nc3c(=O)n(C3CC3)c12	RSC Med Chem	2020.0	CHEMBL4743440	=	=	IC50	nM	1300.0	IC50	uM	1.3
9902	Inhibition of CYP3A4 (unknown origin)	Cc1nc2c(=O)n(C3CC3)c3c(Cl)c(N4CC[C@@H]([C@H](C)N)C4)c(F)cc3c2o1	RSC Med Chem	2020.0	CHEMBL4786331	=	=	IC50	nM	17500.0	IC50	uM	17.5
9903	Inhibition of CYP3A4 in human liver microsomes measured after 30 mins	CNc1nc(Nc2ccc(-n3cnc(C)n3)c(OC)c2)nc2c1CC[C@H]2c1ccc(F)cc1	ACS Med Chem Lett	2019.0	CHEMBL4209316	=	=	IC50	nM	200.0	IC50	uM	0.2
9904	Time dependent inhibition of CYP3A4 in human liver microsomes assessed as inhibition constant	CNc1nc(Nc2ccc(-n3cnc(C)n3)c(OC)c2)nc2c1CC[C@H]2c1ccc(F)cc1	ACS Med Chem Lett	2019.0	CHEMBL4209316	=	=	Ki	nM	83000.0	Ki	uM	83.0
9905	Inhibition of CYP3A4 in human liver microsomes using testosterone as substrate measured after 15 mins in presence of NADPH by LC-MS/MS analysis	Cc1cc(-c2ccnc(Nc3cnn(C)c3)n2)ccc1CNC(=O)N1CC(OC(C)C)C1	J Med Chem	2020.0	CHEMBL4744041	>	>	IC50	nM	25000.0	IC50	uM	25.0
9906	Inhibition of CYP3A4 in human liver microsomes using midazolam as substrate measured after 15 mins in presence of NADPH by LC-MS/MS analysis	Cc1cc(-c2ccnc(Nc3cnn(C)c3)n2)ccc1CNC(=O)N1CC(OC(C)C)C1	J Med Chem	2020.0	CHEMBL4744041	>	>	IC50	nM	25000.0	IC50	uM	25.0
9907	Time-dependent inhibition of CYP3A4 in human liver microsomes using testosterone in presence of NADPH by LC-MS/MS analysis	Cc1cc(-c2ccnc(Nc3cnn(C)c3)n2)ccc1CNC(=O)N1CC(OC(C)C)C1	J Med Chem	2020.0	CHEMBL4744041	=	=	Ki	nM	50000.0	Ki	uM	50.0
9908	Inhibition of recombinant CYP3A4 (unknown origin)	C[C@H]1C[C@H](C(=O)O)CC[C@H]1C(=O)N1CC[C@@]2(S(=O)(=O)c3ccccc3)c3cc(F)c(C(F)(C(F)(F)F)C(F)(F)F)cc3CC[C@@H]12	Bioorg Med Chem Lett	2020.0	CHEMBL4763134	>	>	IC50	nM	20000.0	IC50	uM	20.0
9909	Time-dependent inhibition of CYP3A4 in human liver microsomes assessed as inhibition constant by Kitz-Wilson plot analysis	CNc1nc(Nc2ccc(-n3cnc(C)n3)c(OC)c2)nc2c1CC[C@H]2c1ccc(F)cc1	Bioorg Med Chem Lett	2020.0	CHEMBL4209316	=	=	Ki	nM	82500.0	Ki	uM	82.5
9910	Time-dependent inhibition of CYP3A4 in human liver microsomes assessed as inhibition constant by Kitz-Wilson plot analysis	CNc1nc(Nc2ccc(-n3cnc(C)n3)c(OC)c2)nc2c1CC[C@@H]2c1ccc(F)cc1	Bioorg Med Chem Lett	2020.0	CHEMBL4793756	=	=	Ki	nM	82500.0	Ki	uM	82.5
9911	Inhibition of CYP3A4 in human liver microsomes using isoform-specific probe substrates preincubated for 5 mins followed by NADPH addition by LC-MS/MS analysis	CN(C)C(=O)c1ccc(Oc2nc(-c3ccc(N)nc3)nc(N3CCOCC3)n2)cc1	J Med Chem	2020.0	CHEMBL4793302	>	>	IC50	nM	10000.0	IC50	uM	10.0
9912	Inhibition of CYP3A4 in human liver microsomes using isoform-specific probe substrates preincubated for 5 mins followed by NADPH addition by LC-MS/MS analysis	CN(C)C(=O)c1ccc(Oc2nc(-c3ccnc4[nH]ccc34)nc(N3CCOCC3)n2)cc1	J Med Chem	2020.0	CHEMBL4764922	>	>	IC50	nM	10000.0	IC50	uM	10.0
9913	Inhibition of CYP3A4 in human liver microsomes using isoform-specific probe substrates preincubated for 5 mins followed by NADPH addition by LC-MS/MS analysis	CN(C)C(=O)c1ccc(Oc2nc(-c3cnc(N)s3)nc(N3CCOCC3)n2)cc1	J Med Chem	2020.0	CHEMBL4782133	>	>	IC50	nM	10000.0	IC50	uM	10.0
9914	Inhibition of CYP3A4 (unknown origin)	Nc1nc(OCc2ccccc2)c2[nH]nnc2n1	Bioorg Med Chem	2020.0	CHEMBL333928	>	>	IC50	nM	10000.0	IC50	uM	10.0
9915	Inhibition of CYP3A4 (unknown origin)	Nc1cc(Cc2ccccc2)c2nn[nH]c2n1	Bioorg Med Chem	2020.0	CHEMBL4753981	=	=	IC50	nM	6600.0	IC50	uM	6.6
9916	Inhibition of CYP3A4 (unknown origin)	Nc1cc([C@H](Cc2ccccc2)c2ccccc2)c2nn[nH]c2n1	Bioorg Med Chem	2020.0	CHEMBL4761170	=	=	IC50	nM	3400.0	IC50	uM	3.4
9917	Inhibition of CYP3A4 (unknown origin)	Nc1cc([C@H](CCCc2ccccc2)c2ccccc2)c2nn[nH]c2n1	Bioorg Med Chem	2020.0	CHEMBL4763067	=	=	IC50	nM	1800.0	IC50	uM	1.8
9918	Inhibition of CYP3A4 (unknown origin)	Nc1cc([C@H](CCOCc2ccccc2)c2ccccc2)c2nn[nH]c2n1	Bioorg Med Chem	2020.0	CHEMBL4792720	=	=	IC50	nM	2600.0	IC50	uM	2.6
9919	Inhibition of CYP3A4 (unknown origin)	Nc1cc([C@H](CCNCc2ccccc2)c2ccccc2)c2nn[nH]c2n1	Bioorg Med Chem	2020.0	CHEMBL4800005	=	=	IC50	nM	12000.0	IC50	uM	12.0
9920	Inhibition of recombinant CYP3A4 (unknown origin) by fluorescence-based assay	CCn1nc2c(c1Nc1nc(-c3ccc(-n4cnc(C)c4)c(OC)n3)cs1)CCCC2	Bioorg Med Chem	2020.0	CHEMBL4445443	=	=	IC50	nM	3700.0	IC50	uM	3.7
9921	Inhibition of recombinant CYP3A4 (unknown origin) by fluorescence-based assay	COc1nc(-c2csc(Nc3c4c(nn3C(C)(C)C)CCCC4)n2)ccc1-n1cnc(C)c1	Bioorg Med Chem	2020.0	CHEMBL4754724	=	=	IC50	nM	5300.0	IC50	uM	5.3
9922	Inhibition of recombinant CYP3A4 (unknown origin) by fluorescence-based assay	COc1nc(-c2csc(Nc3c4c(nn3C3CCC3)CCCC4)n2)ccc1-n1cnc(C)c1	Bioorg Med Chem	2020.0	CHEMBL4795963	=	=	IC50	nM	590.0	IC50	uM	0.59
9923	Inhibition of recombinant CYP3A4 (unknown origin) by fluorescence-based assay	COc1nc(-c2csc(Nc3c4c(nn3CCF)CCCC4)n2)ccc1-n1cnc(C)c1	Bioorg Med Chem	2020.0	CHEMBL4750723	=	=	IC50	nM	1000.0	IC50	uM	1.0
9924	Inhibition of recombinant CYP3A4 (unknown origin) by fluorescence-based assay	COc1nc(-c2csc(Nc3c4c(nn3CCO)CCCC4)n2)ccc1-n1cnc(C)c1	Bioorg Med Chem	2020.0	CHEMBL4741060	=	=	IC50	nM	30000.0	IC50	uM	30.0
9925	Inhibition of recombinant CYP3A4 (unknown origin) by fluorescence-based assay	COc1nc(-c2csc(Nc3c4c(nn3CCCO)CCCC4)n2)ccc1-n1cnc(C)c1	Bioorg Med Chem	2020.0	CHEMBL4777113	=	=	IC50	nM	2200.0	IC50	uM	2.2
9926	Inhibition of recombinant CYP3A4 (unknown origin) by fluorescence-based assay	COc1nc(-c2csc(Nc3c4c(nn3CC(C)(C)O)CCCC4)n2)ccc1-n1cnc(C)c1	Bioorg Med Chem	2020.0	CHEMBL4760389	=	=	IC50	nM	1100.0	IC50	uM	1.1
9927	Inhibition of recombinant CYP3A4 (unknown origin) by fluorescence-based assay	COc1nc(-c2csc(Nc3cc(C(C)(C)C)nn3C(C)C)n2)ccc1-n1cnc(C)c1	Bioorg Med Chem	2020.0	CHEMBL4794750	=	=	IC50	nM	2300.0	IC50	uM	2.3
9928	Inhibition of recombinant CYP3A4 (unknown origin) by fluorescence-based assay	COc1nc(-c2csc(Nc3cc(C(C)(C)C)nn3CCF)n2)ccc1-n1cnc(C)c1	Bioorg Med Chem	2020.0	CHEMBL4786740	=	=	IC50	nM	40.0	IC50	uM	0.04
9929	Inhibition of recombinant CYP3A4 (unknown origin) by fluorescence-based assay	COc1nc(-c2csc(Nc3cc(C(C)(C)C)nn3CC(F)(F)F)n2)ccc1-n1cnc(C)c1	Bioorg Med Chem	2020.0	CHEMBL4751736	=	=	IC50	nM	1000.0	IC50	uM	1.0
9930	Inhibition of recombinant CYP3A4 (unknown origin) by fluorescence-based assay	CCn1nc(C2(C)CC2)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(OC)n2)cs1	Bioorg Med Chem	2020.0	CHEMBL4749020	=	=	IC50	nM	4100.0	IC50	uM	4.1
9931	Inhibition of recombinant CYP3A4 (unknown origin) by fluorescence-based assay	CCn1nc(C(F)(F)F)cc1Nc1nc(-c2ccc(-n3cnc(C)c3)c(OC)n2)cs1	Bioorg Med Chem	2020.0	CHEMBL4763513	=	=	IC50	nM	5300.0	IC50	uM	5.3
9932	Inhibition of recombinant CYP3A4 (unknown origin) by fluorescence-based assay	COc1nc(-c2csc(Nc3c4c(nn3C)CCC4)n2)ccc1-n1cnc(C)c1	Bioorg Med Chem	2020.0	CHEMBL4741605	=	=	IC50	nM	4500.0	IC50	uM	4.5
9933	Inhibition of recombinant CYP3A4 (unknown origin) by fluorescence-based assay	CCn1nc2c(c1Nc1nc(-c3ccc(-n4cnc(C)c4)c(OC)n3)cs1)CCC2	Bioorg Med Chem	2020.0	CHEMBL4758131	=	=	IC50	nM	20000.0	IC50	uM	20.0
9934	Inhibition of recombinant CYP3A4 (unknown origin) by fluorescence-based assay	COc1nc(-c2csc(Nc3c4c(nn3CCF)CCC4)n2)ccc1-n1cnc(C)c1	Bioorg Med Chem	2020.0	CHEMBL4759910	=	=	IC50	nM	10500.0	IC50	uM	10.5
9935	Inhibition of recombinant CYP3A4 (unknown origin) by fluorescence-based assay	COc1nc(-c2csc(Nc3c4c(nn3CC(F)(F)F)CCC4)n2)ccc1-n1cnc(C)c1	Bioorg Med Chem	2020.0	CHEMBL4777391	=	=	IC50	nM	1400.0	IC50	uM	1.4
9936	Inhibition of recombinant CYP3A4 (unknown origin) by fluorescence-based assay	COc1nc(-c2csc(Nc3c4c(nn3CCO)CCC4)n2)ccc1-n1cnc(C)c1	Bioorg Med Chem	2020.0	CHEMBL4761020	<	<	IC50	nM	50.0	IC50	uM	0.05
9937	Inhibition of recombinant CYP3A4 (unknown origin) by fluorescence-based assay	CCn1nc2c(c1Nc1nc(-c3ccc(-n4cnc(C)c4)c(OC)n3)cs1)CCC2(C)C	Bioorg Med Chem	2020.0	CHEMBL4747572	=	=	IC50	nM	750.0	IC50	uM	0.75
9938	Inhibition of recombinant CYP3A4 (unknown origin) by fluorescence-based assay	CCn1nc2c(c1Nc1nc(-c3ccc(-n4cnc(C)c4)c(OC)n3)cs1)C(C)CC2(C)C	Bioorg Med Chem	2020.0	CHEMBL4798079	=	=	IC50	nM	1500.0	IC50	uM	1.5
9939	Inhibition of recombinant CYP3A4 (unknown origin) by fluorescence-based assay	CCn1nc2c(c1Nc1nc(-c3ccc(-n4cnc(C)c4)c(OC)n3)cs1)CCCCC2	Bioorg Med Chem	2020.0	CHEMBL4745955	=	=	IC50	nM	11000.0	IC50	uM	11.0
9940	Inhibition of CYP3A4 (unknown origin)	O=c1[nH]nc(-c2ccc(Cl)c(C(F)(F)F)c2)o1	J Med Chem	2020.0	CHEMBL4788846	>	>	IC50	nM	25000.0	IC50	uM	25.0
9941	Inhibition of CYP3A4 (unknown origin) incubated for 20 to 30 mins by P450-Glo assay	CC[C@@H](c1nc2cccc(F)c2c(=O)n1C1CC1)n1nc(-c2ccc(OC)c(F)c2)c2c(N)ncnc21	J Med Chem	2020.0	CHEMBL4781849	>	>	IC50	nM	10000.0	IC50	uM	10.0
9942	Inhibition of CYP3A4 (unknown origin)	CO[C@@H](C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2cc(Cl)nn12	J Med Chem	2020.0	CHEMBL4748253	>	>	IC50	nM	20000.0	IC50	uM	20.0
9943	Inhibition of CYP3A4 (unknown origin)	CO[C@@H](C)c1c(NC(=O)Nc2ccnc(C(F)(F)F)c2)cnc2cc(Cl)nn12	J Med Chem	2020.0	CHEMBL4746044	>	>	IC50	nM	20000.0	IC50	uM	20.0
9944	Inhibition of CYP3A4 in human liver microsomes	CC(=O)N1CCN(CCOCc2ccn(-c3ccc(F)c(F)c3)n2)CC1.Cl	J Med Chem	2020.0	CHEMBL4743610	=	=	IC50	nM	100000.0	IC50	uM	100.0
9945	Inhibition of CYP3A4 in human liver microsomes using midazolam as substrate in presence of NADPH	C[C@@H](c1cc(OCC(F)F)ccn1)n1cnc2c(N)nc(Cl)nc21	J Med Chem	2020.0	CHEMBL4762103	>	>	IC50	nM	25000.0	IC50	uM	25.0
9946	Inhibition of CYP3A4 in human liver microsomes in presence of NADPH by LC-MS/MS analysis	O=C1N2C[C@@H](CC[C@H]2F)N1OS(=O)(=O)[O-].[Na+]	J Med Chem	2020.0	CHEMBL4753698	>	>	IC50	nM	50000.0	IC50	uM	50.0
9947	Inhibition of CYP3A4 in human liver microsomes using testosterone substrate by LC-MS/MS analysis	O=C(N[C@H]1CCN(CC2CC2)C[C@@H]1C(=O)NC1(c2ncccn2)CC1)c1cc(-c2ccc(F)cc2F)on1	J Med Chem	2020.0	CHEMBL4782111	>	>	IC50	nM	50000.0	IC50	uM	50.0
9948	Inhibition of CYP3A4 in human liver microsomes using midazolam substrate by LC-MS/MS analysis	O=C(N[C@H]1CCN(CC2CC2)C[C@@H]1C(=O)NC1(c2ncccn2)CC1)c1cc(-c2ccc(F)cc2F)on1	J Med Chem	2020.0	CHEMBL4782111	>	>	IC50	nM	50000.0	IC50	uM	50.0
9949	Inhibition of CYP3A4 in human liver microsomes using isoform-specific probe substrates in presence of NADPH-generating system by LC-MS analysis	Cc1cc(NC2CCc3cc(Cl)ccc3C2)n2nc(C(C)(F)F)nc2n1	J Med Chem	2016.0	CHEMBL4761666	>	>	IC50	nM	20000.0	IC50	uM	20.0
9950	Inhibition of CYP3A4 in human liver microsomes using isoform-specific probe substrates in presence of NADPH-generating system by LC-MS analysis	Cc1cc(N[C@H]2CCc3ccc(Cl)cc3C2)n2nc(C(C)(F)F)nc2n1	J Med Chem	2016.0	CHEMBL4751920	>	>	IC50	nM	20000.0	IC50	uM	20.0
9951	Inhibition of CYP3A4 in human liver microsomes using isoform-specific probe substrates in presence of NADPH-generating system by LC-MS analysis	Cc1cc(NC2CCc3cc(Br)ccc3C2)n2nc(C(C)(F)F)nc2n1	J Med Chem	2016.0	CHEMBL4747214	>	>	IC50	nM	20000.0	IC50	uM	20.0
9952	Inhibition of CYP3A4 in human liver microsomes using isoform-specific probe substrates in presence of NADPH-generating system by LC-MS analysis	Cc1cc(NC2CCc3ccc(Br)cc3C2)n2nc(C(C)(F)F)nc2n1	J Med Chem	2016.0	CHEMBL4753862	>	>	IC50	nM	20000.0	IC50	uM	20.0
9953	Inhibition of CYP3A4 in human liver microsomes using isoform-specific probe substrates in presence of NADPH-generating system by LC-MS analysis	Cc1cc(NC2Cc3cc(F)c(F)cc3C2)n2nc(C(C)(F)F)nc2n1	J Med Chem	2016.0	CHEMBL4794107	>	>	IC50	nM	20000.0	IC50	uM	20.0
9954	Inhibition of CYP3A4 (unknown origin)	CC(C)(O)C#Cc1cnc(Nc2cnc(C#N)cn2)cc1NC[C@@H]1CNCCO1	J Med Chem	2016.0	CHEMBL4793954	>	>	IC50	nM	10000.0	IC50	uM	10.0
9955	Inhibition of CYP3A4 (unknown origin)	C#Cc1cnc(Nc2cnc(C#N)cn2)cc1NC[C@@H]1CNCCO1	J Med Chem	2016.0	CHEMBL4740741	>	>	IC50	nM	10000.0	IC50	uM	10.0
9956	Inhibition of CYP3A4 (unknown origin)	N#Cc1cnc(Nc2cc(NC[C@@H]3CNCCO3)c(C3CC3)cn2)cn1	J Med Chem	2016.0	CHEMBL4792322	>	>	IC50	nM	10000.0	IC50	uM	10.0
9957	Inhibition of CYP3A4 (unknown origin)	N#Cc1cnc(Nc2cc(NC[C@H]3CNCCO3)c(Cl)cn2)cn1	J Med Chem	2016.0	CHEMBL4754960	>	>	IC50	nM	10000.0	IC50	uM	10.0
9958	Inhibition of CYP3A4 (unknown origin)	N#Cc1cnc(Nc2cc(NC[C@H]3CNCCO3)c(C(F)(F)F)cn2)cn1	J Med Chem	2016.0	CHEMBL4169078	>	>	IC50	nM	10000.0	IC50	uM	10.0
9959	Inhibition of CYP3A4 in human liver microsomes in presence of IPA as substrate	Nc1ccc(-c2nc(N3CCOCC3)c3ncn(CCCCCCC(=O)NO)c3n2)cn1	J Med Chem	2018.0	CHEMBL4785064	>	>	IC50	nM	10000.0	IC50	uM	10.0
9960	Inhibition of CYP3A4 in human liver microsomes in presence of IPA as substrate	O=C(CCCCCCn1cnc2c(N3CCOCC3)nc(-c3cccc(CO)c3)nc21)NO	J Med Chem	2018.0	CHEMBL4749655	>	>	IC50	nM	10000.0	IC50	uM	10.0
9961	Inhibition of CYP3A4 in human liver microsomes in presence of IPA as substrate	Nc1ncc(-c2nc(N3CCOCC3)c3ncn(CCCCCCC(=O)NO)c3n2)cn1	J Med Chem	2018.0	CHEMBL4787267	>	>	IC50	nM	10000.0	IC50	uM	10.0
9962	Inhibition of CYP3A4 in human liver microsomes in presence of IPA as substrate	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1	J Med Chem	2018.0	CHEMBL1336	>	>	IC50	nM	10000.0	IC50	uM	10.0
9963	Inhibition of human recombinant CYP3A4	CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1	J Med Chem	2019.0	CHEMBL75	=	=	IC50	nM	240.0	IC50	uM	0.24
9964	Inhibition of CYP3A4 (unknown origin) in baculosomes preincubated for 20 mins followed by addition of CYP enzyme-specific substrate and NADP+ and measured after 30 mins by fluorescence based analysis	CC(=O)Nc1ccc(O)cc1	Eur J Med Chem	2020.0	CHEMBL112	>	>	IC50	nM	10000.0	IC50	nM	10000.0
9965	Inhibition of CYP3A4 (unknown origin) in baculosomes preincubated for 20 mins followed by addition of CYP enzyme-specific substrate and NADP+ and measured after 30 mins by fluorescence based analysis	CNC(=O)c1ccccc1S(=O)(=O)NCC(=O)Nc1ccc(O)cc1	Eur J Med Chem	2020.0	CHEMBL4800549	>	>	IC50	nM	10000.0	IC50	nM	10000.0
9966	Inhibition of CYP3A4 (unknown origin) in baculosomes preincubated for 20 mins followed by addition of CYP enzyme-specific substrate and NADP+ and measured after 30 mins by fluorescence based analysis	O=C(CNS(=O)(=O)c1ccccc1C(=O)NCCc1ccc(O)c(O)c1)Nc1ccc(O)cc1	Eur J Med Chem	2020.0	CHEMBL4800229	=	=	IC50	nM	4820.0	IC50	nM	4820.0
9967	Inhibition of CYP3A4 in human liver microsomes preincubated for 10 mins followed by NADPH addition by LC-MS/MS analysis	COc1ccc(C(Oc2ccc(N(CC(=O)O)S(=O)(=O)c3c(C)cc(C)cc3C)c3ccccc23)C(=O)O)cc1	Eur J Med Chem	2020.0	CHEMBL4740287	>	>	IC50	nM	10000.0	IC50	uM	10.0
9968	Inhibition of CYP3A4 in human liver microsome using testosterone as substrate	O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(C(F)(F)F)cc3Cl)cc1)C2	Eur J Med Chem	2020.0	CHEMBL583256	>	>	IC50	nM	20000.0	IC50	uM	20.0
9969	Inhibition of CYP3A4 in human liver microsome using testosterone as substrate	CC1(COc2ccc(OC(F)(F)F)cc2)CCn2cc([N+](=O)[O-])nc2O1	Eur J Med Chem	2020.0	CHEMBL4066553	>	>	IC50	nM	20000.0	IC50	uM	20.0
9970	Inhibition of CYP3A4 in human liver microsomes	Cn1cc(-c2nc3c(-c4ccnc(OC5CC5)c4)cnn3cc2OCCC(C)(C)O)cn1	ACS Med Chem Lett	2021.0	CHEMBL4751832	>	>	IC50	nM	10000.0	IC50	uM	10.0
9971	Inhibition of CYP3A4 (unknown origin)	O=C(C1CCS(=O)(=O)CC1)N1CC[C@@]2(S(=O)(=O)c3ccc(F)cc3)c3ccc(C(F)(C(F)(F)F)C(F)(F)F)nc3CC[C@@H]12	ACS Med Chem Lett	2021.0	CHEMBL4750603	>	>	IC50	nM	20000.0	IC50	uM	20.0
9972	Inhibition of CYP3A4 (unknown origin)	N#CCCN1C(=O)CC[C@H]1C(=O)N1CC[C@@]2(S(=O)(=O)c3ccc(F)cc3)c3ccc(C(F)(C(F)(F)F)C(F)(F)F)nc3CC[C@@H]12	ACS Med Chem Lett	2021.0	CHEMBL4754719	=	=	IC50	nM	19000.0	IC50	uM	19.0
9973	Inhibition of CYP3A4 (unknown origin)	N#CCCN1C(=O)CC[C@H]1C(=O)N1CC[C@@]2(S(=O)(=O)c3ccc(F)cc3)c3cnc(C(F)(C(F)(F)F)C(F)(F)F)cc3CC[C@@H]12	ACS Med Chem Lett	2021.0	CHEMBL4748187	=	=	IC50	nM	12000.0	IC50	uM	12.0
9974	Inhibition of CYP3A4 (unknown origin)	N#CCCN1C(=O)CC[C@H]1C(=O)N1CC[C@@]2(S(=O)(=O)c3ccc(F)cc3)c3ncc(C(F)(C(F)(F)F)C(F)(F)F)cc3CC[C@@H]12	ACS Med Chem Lett	2021.0	CHEMBL4793083	>	>	IC50	nM	20000.0	IC50	uM	20.0
9975	Inhibition of CYP3A4 (unknown origin)	O=C(C1CCS(=O)(=O)CC1)N1CC[C@@]2(S(=O)(=O)c3ccc(F)cc3)c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3CC[C@@H]12	ACS Med Chem Lett	2021.0	CHEMBL4435992	=	=	IC50	nM	13000.0	IC50	uM	13.0
9976	Inhibition of CYP3A4 (unknown origin)	N#CCCN1C(=O)CC[C@H]1C(=O)N1CC[C@@]2(S(=O)(=O)c3ccc(F)cc3)c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3CC[C@@H]12	ACS Med Chem Lett	2021.0	CHEMBL4763978	=	=	IC50	nM	10000.0	IC50	uM	10.0
9977	Inhibition of CYP3A4 (unknown origin)	CC(C)(O)C(=O)N[C@@H]1CC[C@@]2(S(=O)(=O)c3ccc(F)cc3)c3ccc(C(F)(C(F)(F)F)C(F)(F)F)nc3CC[C@@H]12	ACS Med Chem Lett	2021.0	CHEMBL4750756	>	>	IC50	nM	20000.0	IC50	uM	20.0
