assay_description	canonical_smiles	document_journal	document_year	molecule_chembl_id	relation	standard_relation	standard_type	standard_units	standard_value	type	units	value
Inhibition of CYP3A4 (unknown origin)	CC(C)(O)CN1C(=O)[C@H](F)C[C@H]1C(=O)N1CC[C@@]2(S(=O)(=O)c3ccc(F)cc3)c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3CC[C@@H]12	ACS Med Chem Lett	2020.0	CHEMBL4782326	>	>	IC50	nM	20000.0	IC50	nM	20000.0
Inhibition of CYP3A4 (unknown origin) using testosterone as substrate	COc1cc(-c2ncc(COc3cccc([C@@H](CC(=O)O)C4CC4)c3)nc2CC(C)C)c(F)cn1	Bioorg Med Chem Lett	2018.0	CHEMBL4764485	>	>	IC50	nM	10000.0	IC50	uM	10.0
Inhibition of CYP3A4 (unknown origin) using midazolam as substrate	COc1cc(-c2ncc(COc3cccc([C@@H](CC(=O)O)C4CC4)c3)nc2CC(C)C)c(F)cn1	Bioorg Med Chem Lett	2018.0	CHEMBL4764485	=	=	IC50	nM	8000.0	IC50	uM	8.0
Inhibition of human CYP3A4 expressed in Sacchrosomes using dibenzylfluorescein as substrate by fluorescence based assay	COc1c(-c2ccc3c(c2)OCO3)oc2c(ccc3occc32)c1=O	Bioorg Med Chem	2018.0	CHEMBL577397	>	>	IC50	nM	20000.0	IC50	uM	20.0
Inhibition of human CYP3A4 expressed in Sacchrosomes using dibenzylfluorescein as substrate by fluorescence based assay	O=c1cc(-c2ccccc2)oc2c1ccc1occc12	Bioorg Med Chem	2018.0	CHEMBL224157	>	>	IC50	nM	20000.0	IC50	uM	20.0
Time-dependent inhibition of CYP3A4 in human liver microsomes using testosterone as substrate and in presence of co-factor by LC-MS/MS analysis	O=c1nc(OC[C@@H]2COCCO2)cc2n1CCc1cc(C#CC3CC3)ccc1-2	J Med Chem	2020.0	CHEMBL3716365	>	>	IC50	nM	50000.0	IC50	uM	50.0
Time-dependent inhibition of CYP3A4 in human liver microsomes using midazolam as substrate and in presence of co-factor by LC-MS/MS analysis	O=c1nc(OC[C@@H]2COCCO2)cc2n1CCc1cc(C#CC3CC3)ccc1-2	J Med Chem	2020.0	CHEMBL3716365	>	>	IC50	nM	50000.0	IC50	uM	50.0
Inhibition of human CYP3A4 in human liver microsomes using testosterone as substrate and in presence of co-factor preincubated for 20 mins followed by substrate addition by LC-MS/MS analysis	O=c1nc(OC[C@@H]2COCCO2)cc2n1CCc1cc(C#CC3CC3)ccc1-2	J Med Chem	2020.0	CHEMBL3716365	>	>	IC50	nM	50000.0	IC50	uM	50.0
Inhibition of human CYP3A4 in human liver microsomes using testosterone as substrate and in presence of co-factor preincubated for 20 mins followed by substrate addition by LC-MS/MS analysis	O=c1nc(OC[C@H]2COCCO2)cc2n1CCc1cc(C#CC3CC3)ccc1-2	J Med Chem	2020.0	CHEMBL3717363	>	>	IC50	nM	50000.0	IC50	uM	50.0
Inhibition of CYP3A4 in human liver microsomes using midazolam as substrate and in presence of co-factor preincubated for 20 mins followed by substrate addition by LC-MS/MS analysis	O=c1nc(OC[C@@H]2COCCO2)cc2n1CCc1cc(C#CC3CC3)ccc1-2	J Med Chem	2020.0	CHEMBL3716365	>	>	IC50	nM	50000.0	IC50	uM	50.0
Inhibition of CYP3A4 in human liver microsomes using midazolam as substrate and in presence of co-factor preincubated for 20 mins followed by substrate addition by LC-MS/MS analysis	O=c1nc(OC[C@H]2COCCO2)cc2n1CCc1cc(C#CC3CC3)ccc1-2	J Med Chem	2020.0	CHEMBL3717363	>	>	IC50	nM	50000.0	IC50	uM	50.0
Inhibition of CYP3A4 (unknown origin)	C[C@H]1CCN1c1nc(N2C[C@H]3[C@H](CC(=O)O)[C@H]3C2)cc(C(F)(F)F)n1	J Med Chem	2020.0	CHEMBL4549658	>	>	IC50	nM	100000.0	IC50	uM	100.0
Inhibition of CYP3A4 in human liver microsomes	C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@@H](c2ccc(NC3CN(CCCF)C3)cn2)N1CC(F)(F)F	J Med Chem	2020.0	CHEMBL4650365	=	=	IC50	nM	2200.0	IC50	uM	2.2
Inhibition of CYP3A4 in human liver microsomes	COc1cc(NC2CN(CCCF)C2)ccc1[C@@H]1c2ccc3[nH]ncc3c2C[C@@H](C)N1CC1(F)CC1	J Med Chem	2020.0	CHEMBL4742862	=	=	IC50	nM	11000.0	IC50	uM	11.0
Irreversible inhibition of CYP3A4 in human liver microsomes using midazolam as substrate	O=C(NCc1ncc(C(F)(F)F)cc1Cl)c1ccc2c(c1)C1(CCS(=O)(=O)CC1)[C@H](C1CC1)N2S(=O)(=O)c1ccc(F)cc1	J Med Chem	2020.0	CHEMBL4537788	>	>	IC50	nM	10000.0	IC50	uM	10.0
Inhibition of CYP3A4 in human liver microsomes using dextromethorphan as substrate by LC-MS/MS analysis	O=C(NCc1ncc(C(F)(F)F)cc1Cl)c1ccc2c(c1)C1(CCS(=O)(=O)CC1)[C@H](C1CC1)N2S(=O)(=O)c1ccc(F)cc1	J Med Chem	2020.0	CHEMBL4537788	>	>	IC50	nM	10000.0	IC50	uM	10.0
Inhibition of CYP3A4 in human liver microsomes using testosterone as substrate measured after 5 mins in presence of NADPH by LC-MS/MS analysis	CNC(=O)c1cn(C[C@H](F)CCc2ccc(NC(=O)Cc3cc(OC4CC(F)(F)C4)cc(C)n3)nn2)nn1	J Med Chem	2020.0	CHEMBL4741924	>	>	IC50	nM	10000.0	IC50	nM	10000.0
Inhibition of CYP3A4 (unknown origin)	COc1ccccc1C1c2c(n[nH]c2C(C)(C)C)C(=O)N1c1ccc(-c2ccsc2)cc1	Bioorg Med Chem Lett	2020.0	CHEMBL3684611	=	=	IC50	nM	10000.0	IC50	uM	10.0
Inhibition of CYP3A4 (unknown origin)	COc1ccccc1C1c2c(C(C)(C)C)n[nH]c2C(=O)N1c1ccc(-c2nccs2)cc1	Bioorg Med Chem Lett	2020.0	CHEMBL4799974	=	=	IC50	nM	13000.0	IC50	uM	13.0
Inhibition of CYP3A4 (unknown origin)	COc1ccccc1C1c2c(C(C)(C)C)n[nH]c2C(=O)N1c1ccc(-c2nnc(C)o2)cc1	Bioorg Med Chem Lett	2020.0	CHEMBL4762641	=	=	IC50	nM	8000.0	IC50	uM	8.0
Inhibition of CYP3A4 (unknown origin)	COc1ccccc1C1c2c(C(C)(C)C)n[nH]c2C(=O)N1c1ccc(-c2nc(C)no2)cc1	Bioorg Med Chem Lett	2020.0	CHEMBL4745262	=	=	IC50	nM	2000.0	IC50	uM	2.0
Inhibition of CYP3A4 (unknown origin)	COc1ccccc1C1c2c(C(C)(C)C)n[nH]c2C(=O)N1c1ccc(-c2noc(C)n2)cc1	Bioorg Med Chem Lett	2020.0	CHEMBL4745598	=	=	IC50	nM	13000.0	IC50	uM	13.0
Inhibition of CYP3A4 (unknown origin)	COc1ccccc1C1c2c(n[nH]c2C(C)(C)C)C(=O)N1c1ccc(-c2ncco2)cc1	Bioorg Med Chem Lett	2020.0	CHEMBL3684614	=	=	IC50	nM	8000.0	IC50	uM	8.0
Inhibition of CYP3A4 (unknown origin)	COc1ccccc1C1c2c(C(C)(C)C)n[nH]c2C(=O)N1c1ccc(-c2cc(C)no2)cc1	Bioorg Med Chem Lett	2020.0	CHEMBL4750518	=	=	IC50	nM	2000.0	IC50	uM	2.0
Inhibition of CYP3A4 (unknown origin)	COc1ccccc1C1c2c(C(C)(C)C)n[nH]c2C(=O)N1c1ccc(C(=O)N(C)C)cc1	Bioorg Med Chem Lett	2020.0	CHEMBL4743161	>	>	IC50	nM	20000.0	IC50	uM	20.0
Inhibition of CYP3A4 (unknown origin)	CCOC(=O)c1ccc(N2C(=O)c3n[nH]c(C(C)(C)C)c3C2c2ccccc2OC)cc1	Bioorg Med Chem Lett	2020.0	CHEMBL3679906	=	=	IC50	nM	5000.0	IC50	uM	5.0
Inhibition of CYP3A4 (unknown origin)	COc1ccccc1C1c2c(C(C)(C)C)n[nH]c2C(=O)N1c1ccc(F)cc1	Bioorg Med Chem Lett	2020.0	CHEMBL4745595	=	=	IC50	nM	18000.0	IC50	uM	18.0
Inhibition of CYP3A4 (unknown origin)	COc1ccccc1C1c2c(C(C)(C)C)n[nH]c2C(=O)N1c1ccc(-c2ccon2)cc1	Bioorg Med Chem Lett	2020.0	CHEMBL4765176	>	>	IC50	nM	20000.0	IC50	uM	20.0
Inhibition of CYP3A4 (unknown origin)	CC(C)(C)c1[nH]nc2c1C(c1ccccc1OCCO)N(c1ccc(-c3ccon3)cc1)C2=O	Bioorg Med Chem Lett	2020.0	CHEMBL3679944	>	>	IC50	nM	20000.0	IC50	uM	20.0
Inhibition of CYP3A4 (unknown origin)	CC(C)(C)c1n[nH]c2c1C(c1ccccc1OCCS(C)(=O)=O)N(c1ccc(-c3ccon3)cc1)C2=O	Bioorg Med Chem Lett	2020.0	CHEMBL4758458	>	>	IC50	nM	20000.0	IC50	uM	20.0
Inhibition of CYP3A4 (unknown origin)	CC(C)(C)c1[nH]nc2c1C(c1ccccc1OCC(=O)O)N(c1ccc(-c3ccon3)cc1)C2=O	Bioorg Med Chem Lett	2020.0	CHEMBL3679880	>	>	IC50	nM	20000.0	IC50	uM	20.0
Inhibition of CYP3A4 (unknown origin)	COc1ccccc1C1c2c(CCO)n[nH]c2C(=O)N1c1ccc(-c2ccon2)cc1	Bioorg Med Chem Lett	2020.0	CHEMBL4741951	=	=	IC50	nM	16000.0	IC50	uM	16.0
Inhibition of CYP3A4 (unknown origin)	COc1ccccc1C1c2c(C(C)(C)CO)n[nH]c2C(=O)N1c1ccc(-c2ccon2)cc1	Bioorg Med Chem Lett	2020.0	CHEMBL4797432	>	>	IC50	nM	20000.0	IC50	uM	20.0
Inhibition of CYP3A4 (unknown origin)	COc1ccccc1C1c2c(n[nH]c2C(C)(CO)CO)C(=O)N1c1ccc(-c2ccon2)cc1	Bioorg Med Chem Lett	2020.0	CHEMBL3684655	>	>	IC50	nM	20000.0	IC50	uM	20.0
Inhibition of CYP3A4 (unknown origin)	COc1ccccc1-c1nccc(COc2ccccc2C[C@@H](Oc2ncnc3sc(-c4ccc(F)cc4)c(-c4ccc(OCCN5CCN(C)CC5)c(Cl)c4C)c23)C(=O)O)n1	J Med Chem	2020.0	CHEMBL4788274	=	=	IC50	nM	1800.0	IC50	uM	1.8
Inhibition of CYP3A4 in human liver microsomes using isoform-specific probe substrates by LC/MS analysis	CC(=O)Nc1ncc(CN2CCC3(CCN(c4cc(C)nc5ccccc45)C3)C2)s1	J Med Chem	2020.0	CHEMBL4741417	>	>	IC50	nM	10000.0	IC50	uM	10.0
Inhibition of CYP3A4 (unknown origin) using midazolam as substrate	CN(C)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1	Bioorg Med Chem Lett	2021.0	CHEMBL4791626	>	>	IC50	nM	30000.0	IC50	uM	30.0
Inhibition of CYP3A4 (unknown origin) using testosterone as substrate	CN(C)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1	Bioorg Med Chem Lett	2021.0	CHEMBL4791626	>	>	IC50	nM	30000.0	IC50	uM	30.0
Inhibition of CYP3A4 (unknown origin)	O=C(Cc1cccc(OCCCC2CCNCC2)c1)Nc1nc(-c2c[nH]c3nccc(F)c23)cs1	Bioorg Med Chem Lett	2021.0	CHEMBL4778806	=	=	IC50	nM	100000.0	IC50	uM	100.0
Inhibition of CYP3A4 (unknown origin)	O=C(Cc1cccc(OCCCC2CCNCC2)c1)Nc1nc(-c2c[nH]c3ncccc23)cs1	Bioorg Med Chem Lett	2021.0	CHEMBL4245242	=	=	IC50	nM	21000.0	IC50	uM	21.0
Inhibition of CYP3A4 (unknown origin)	CN1CCN(CCOc2cccc(CC(=O)Nc3nc(-c4c[nH]c5ncc(F)cc45)cs3)c2)CC1	Bioorg Med Chem Lett	2021.0	CHEMBL4742150	=	=	IC50	nM	27000.0	IC50	uM	27.0
Inhibition of CYP3A4 (unknown origin)	CN1CCN(CCOc2cccc(CC(=O)Nc3nc(-c4c[nH]c5ncccc45)cs3)c2)CC1	Bioorg Med Chem Lett	2021.0	CHEMBL4245197	=	=	IC50	nM	18000.0	IC50	uM	18.0
Inhibition of CYP3A4 (unknown origin)	CN1CCN(CCCOc2cccc(CC(=O)Nc3nc(-c4c[nH]c5ncccc45)cs3)c2)CC1	Bioorg Med Chem Lett	2021.0	CHEMBL4248525	=	=	IC50	nM	19000.0	IC50	uM	19.0
Inhibition of CYP3A4 (unknown origin)	CS(=O)(=O)Nc1cccc(CC(=O)Nc2nc(-c3c[nH]c4ncc(Br)cc34)cs2)c1	Bioorg Med Chem Lett	2021.0	CHEMBL4746642	=	=	IC50	nM	35000.0	IC50	uM	35.0
Inhibition of CYP3A4 (unknown origin)	CS(=O)(=O)Nc1cccc(CC(=O)Nc2nc(-c3c[nH]c4ncc(Cl)cc34)cs2)c1	Bioorg Med Chem Lett	2021.0	CHEMBL4793675	=	=	IC50	nM	8000.0	IC50	uM	8.0
Inhibition of CYP3A4 (unknown origin)	CS(=O)(=O)Nc1cccc(CC(=O)Nc2nc(-c3c[nH]c4nccc(Cl)c34)cs2)c1	Bioorg Med Chem Lett	2021.0	CHEMBL4778609	=	=	IC50	nM	8000.0	IC50	uM	8.0
Inhibition of CYP3A4 (unknown origin)	CS(=O)(=O)Nc1cccc(CC(=O)Nc2nc(-c3c[nH]c4ncc(O)cc34)cs2)c1	Bioorg Med Chem Lett	2021.0	CHEMBL4751643	=	=	IC50	nM	5000.0	IC50	uM	5.0
Inhibition of CYP3A4 (unknown origin)	CS(=O)(=O)Nc1cccc(CC(=O)Nc2nc(-c3c[nH]c4ncc(F)cc34)cs2)c1	Bioorg Med Chem Lett	2021.0	CHEMBL4752045	=	=	IC50	nM	6000.0	IC50	uM	6.0
Inhibition of CYP3A4 (unknown origin)	CS(=O)(=O)Nc1cccc(CC(=O)Nc2nc(-c3c[nH]c4nccc(F)c34)cs2)c1	Bioorg Med Chem Lett	2021.0	CHEMBL4757625	=	=	IC50	nM	36000.0	IC50	uM	36.0
Inhibition of CYP3A4 (unknown origin)	Cc1sc(NC(=O)Cc2cccc(NS(C)(=O)=O)c2)nc1-c1c[nH]c2ncccc12	Bioorg Med Chem Lett	2021.0	CHEMBL4763436	=	=	IC50	nM	5000.0	IC50	uM	5.0
Inhibition of CYP3A4 (unknown origin)	CS(=O)(=O)Nc1cccc(CC(=O)Nc2cc(-c3c[nH]c4ncccc34)ncn2)c1	Bioorg Med Chem Lett	2021.0	CHEMBL4781437	=	=	IC50	nM	100000.0	IC50	uM	100.0
Inhibition of CYP3A4 (unknown origin)	CS(=O)(=O)Nc1cccc(CC(=O)Nc2nccc(-c3c[nH]c4ncccc34)n2)c1	Bioorg Med Chem Lett	2021.0	CHEMBL4752171	=	=	IC50	nM	48000.0	IC50	uM	48.0
Inhibition of CYP3A4 (unknown origin)	CS(=O)(=O)Nc1cccc(CC(=O)Nc2nnc(-c3c[nH]c4ncccc34)s2)c1	Bioorg Med Chem Lett	2021.0	CHEMBL4800244	=	=	IC50	nM	100000.0	IC50	uM	100.0
Inhibition of CYP3A4 (unknown origin)	CS(=O)(=O)Nc1cccc(CC(=O)Nc2cc(-c3c[nH]c4ncccc34)cs2)c1	Bioorg Med Chem Lett	2021.0	CHEMBL4794318	=	=	IC50	nM	5000.0	IC50	uM	5.0
Inhibition of CYP3A4 (unknown origin)	CS(=O)(=O)Nc1cccc(CC(=O)Nc2ccc(-c3c[nH]c4ncccc34)s2)c1	Bioorg Med Chem Lett	2021.0	CHEMBL4754058	=	=	IC50	nM	6000.0	IC50	uM	6.0
Inhibition of CYP3A4 (unknown origin)	CS(=O)(=O)Nc1cccc(CC(=O)Nc2cnc(-c3c[nH]c4ncccc34)s2)c1	Bioorg Med Chem Lett	2021.0	CHEMBL4754398	=	=	IC50	nM	12000.0	IC50	uM	12.0
Inhibition of CYP3A4 (unknown origin)	CS(=O)(=O)Nc1cccc(CC(=O)Nc2nc(-c3c[nH]c4ncccc34)cs2)c1	Bioorg Med Chem Lett	2021.0	CHEMBL4249925	=	=	IC50	nM	8300.0	IC50	uM	8.3
Inhibition of CYP3A4 (unknown origin)	C[C@]12CCCN1CC1=NNC(=O)c3cc(F)cc4[nH]c2c1c34	J Med Chem	2020.0	CHEMBL4112930	>	>	IC50	nM	10000.0	IC50	uM	10.0
Inhibition of CYP3A4 in in human liver microsomes at incubated for 10 mins in presence of CYP3A4 substrate/NADP+ by fluorescence based assay	CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1	J Med Chem	2020.0	CHEMBL75	=	=	IC50	nM	11.0	IC50	uM	0.011000000000000001
Inhibition of CYP3A4 in in human liver microsomes at incubated for 10 mins in presence of CYP3A4 substrate/NADP+ by fluorescence based assay	COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC	J Med Chem	2020.0	CHEMBL6966	=	=	IC50	nM	21330.0	IC50	uM	21.33
Inhibition of CYP3A4 (unknown origin)	Cc1cccc(Cc2nc3cc(O[C@H]4CC[C@@H](C(=O)O)CC4)ccc3n2C)c1	Bioorg Med Chem Lett	2021.0	CHEMBL4778736	>	>	IC50	nM	20000.0	IC50	uM	20.0
Inhibition of CYP3A4 in human liver microsomes using testosterone as substrate preincubated for 5 mins followed by NADPH generating system addition and measured after 120 mins by LC-MS/MS	Cc1nc(-c2cccc(C#N)c2)n(OCc2ccc(C#N)cc2)c1C(=O)O	J Med Chem	2020.0	CHEMBL4786038	>	>	IC50	nM	10000.0	IC50	uM	10.0
Inhibition of CYP3A4 in human liver microsomes using midazolam as substrate preincubated for 3 mins followed by NADPH addition by LC-MS/MS analysis	CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1cccc(Cn2ccnc2)c1	Bioorg Med Chem	2021.0	CHEMBL2086892	=	=	IC50	nM	120000.0	IC50	uM	120.0
Inhibition of CYP3A4 in human liver microsomes using midazolam as substrate preincubated for 3 mins followed by NADPH addition by LC-MS/MS analysis	COC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1cccc(C(=O)Cn2ccnc2C(C)(C)C)c1	Bioorg Med Chem	2021.0	CHEMBL4788892	=	=	IC50	nM	50000.0	IC50	uM	50.0
Inhibition of CYP3A4 (unknown origin)	C[C@H](C(=O)Nc1ccc(Cl)cc1)[C@H]1CC[C@]2(CC1)COc1cc(C(F)(F)F)ccc12	Bioorg Med Chem Lett	2021.0	CHEMBL4763375	=	=	IC50	nM	3100.0	IC50	uM	3.1
Inhibition of CYP3A4 (unknown origin)	C[C@@H](C(=O)Nc1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1	Bioorg Med Chem Lett	2021.0	CHEMBL4161733	=	=	IC50	nM	5100.0	IC50	uM	5.1
Inhibition of CYP3A4 (unknown origin)	O=C(Nc1ccc(Cl)cc1)C(=O)N1CC[C@H](c2ccnc3ccc(F)cc23)[C@@H](O)C1	Bioorg Med Chem Lett	2021.0	CHEMBL4753967	>	>	IC50	nM	10000.0	IC50	uM	10.0
Inhibition of CYP3A4 (unknown origin)	CCS(=O)(=O)c1ccc(CNC(=O)N2CC(C)(C)c3nc(-c4c(OC)ncnc4C4CC4)ccc32)cc1	ACS Med Chem Lett	2021.0	CHEMBL4799596	>	>	IC50	nM	30000.0	IC50	uM	30.0
Inhibition of CYP3A4 (unknown origin)	CNS(=O)(=O)c1ccc(CNC(=O)N2CC3(CCCC3)c3nc(-c4ccc(O)cc4C)ccc32)cc1	ACS Med Chem Lett	2021.0	CHEMBL4790808	=	=	IC50	nM	900.0	IC50	uM	0.9
Inhibition of human CYP3A4 in pooled human liver microsomes using midazolam as substrate incubated for 5 mins by LC-MS/MS	N#Cc1ccc(N2C3CCC2CN(C(=O)CCS(=O)(=O)c2cccc4ncsc24)C3)nc1	ACS Med Chem Lett	2021.0	CHEMBL4790083	>	>	IC50	nM	10000.0	IC50	uM	10.0
Inhibition of CYP3A4 (unknown origin) using 7-benzyloxy resorufin as substrate	O=C(O)C1CN(Cc2ccc3c(c2)CCc2c-3noc2-c2onc(-c3ccccc3)c2C(F)(F)F)C1	J Med Chem	2016.0	CHEMBL3959509	=	=	IC50	nM	14000.0	IC50	uM	14.0
Inhibition of CYP3A4 in pooled human liver microsomes using midazolam as substrate in presence of NADPH incubated for 10 mins by LC-MS/MS analysis	C[C@@H]1CN(c2ccc(S(C)(=O)=O)cc2)CCN1c1cccc(C(=O)NC2C3CC4CC2CC(O)(C4)C3)n1	J Med Chem	2016.0	CHEMBL4747534	=	=	IC50	nM	970.0	IC50	uM	0.97
Inhibition of CYP3A4 in pooled human liver microsomes using midazolam as substrate in presence of NADPH incubated for 10 mins by LC-MS/MS analysis	CNC(=O)c1ccc(N2CCN(c3cccc(C(=O)NC4C5CC6CC4CC(O)(C6)C5)n3)[C@H](C)C2)cn1	J Med Chem	2016.0	CHEMBL4779054	>	>	IC50	nM	10000.0	IC50	uM	10.0
Inhibition of CYP3A4 in pooled human liver microsomes using midazolam as substrate in presence of NADPH incubated for 10 mins by LC-MS/MS analysis	C[C@@H]1CN(c2ccc(C(C)(C)O)nc2)CCN1c1cccc(C(=O)NC2C3CC4CC2CC(O)(C4)C3)n1	J Med Chem	2016.0	CHEMBL4746745	=	=	IC50	nM	5400.0	IC50	uM	5.4
Inhibition of CYP3A4 in pooled human liver microsomes using midazolam as substrate in presence of NADPH incubated for 10 mins by LC-MS/MS analysis	C[C@@H]1CN(c2ccc(S(C)(=O)=O)cc2)CCN1c1nccc(C(=O)NC2C3CC4CC2CC(O)(C4)C3)n1	J Med Chem	2016.0	CHEMBL4788862	>	>	IC50	nM	10000.0	IC50	uM	10.0
Inhibition of CYP3A4 in pooled human liver microsomes using midazolam as substrate in presence of NADPH incubated for 10 mins by LC-MS/MS analysis	C[C@@H]1CN(c2ccc(S(C)(=O)=O)cc2F)CCN1c1nccc(C(=O)NC2C3CC4CC2CC(O)(C4)C3)n1	J Med Chem	2016.0	CHEMBL4748750	>	>	IC50	nM	10000.0	IC50	uM	10.0
Inhibition of CYP3A4 (unknown origin)	Nc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cn1	J Med Chem	2018.0	CHEMBL3754515	>	>	IC50	nM	3000.0	IC50	uM	3.0
Inhibition of CYP3A4 (unknown origin)	CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cc1)C(=O)O	J Med Chem	2018.0	CHEMBL4746566	>	>	IC50	nM	3000.0	IC50	uM	3.0
Inhibition of CYP3A4 in human liver microsomes using midazolam as substrate incubated for 30 mins by LC-MS/MS analysis	C[C@H]1CO[C@@H]2Cn3cc(C(=O)NCc4ccc5nonc5c4)c(=O)c(O)c3C(=O)N12	Eur J Med Chem	2020.0	CHEMBL4784137	>	>	IC50	nM	10000.0	IC50	uM	10.0
Inhibition of CYP3A4 in human liver microsomes using midazolam as substrate incubated for 30 mins by LC-MS/MS analysis	C[C@H]1CO[C@@H]2Cn3cc(C(=O)NCc4ccc(F)nc4F)c(=O)c(O)c3C(=O)N12	Eur J Med Chem	2020.0	CHEMBL4744587	>	>	IC50	nM	10000.0	IC50	uM	10.0
Competitive inhibition of human recombinant CYP3A4 expressed in baculovirus-infected insect cells using diltiazem as substrate incubated for 15 mins followed by NADPH-generating system addition by Michaelis-Menten plot analysis	C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O	J Med Chem	2020.0	CHEMBL190461	=	=	Ki	nM	1000.0	Ki	uM	1.0
Inhibition of recombinant CYP3A4 (unknown origin) in presence of BFC as substrate	Cc1nc2cc(F)c(-c3cnc(C(C)(C)O)nc3)nc2c(N[C@H](C)c2cc(C#N)ccc2F)c1Cl	J Med Chem	2020.0	CHEMBL4777447	>	>	IC50	nM	20000.0	IC50	uM	20.0
Inhibition of CYP3A4 in human liver microsomes using midazolam as substrate incubated for 15 mins by LC-MS/MS analysis	C[C@H]1CCCN1C[C@@H](C)NC(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1	ACS Med Chem Lett	2021.0	CHEMBL4798111	>	>	IC50	nM	50000.0	IC50	uM	50.0
Inhibition of CYP3A4 in human liver microsomes using testosterone as substrate incubated for 30 mins by LC-MS/MS analysis	C[C@H]1CCCN1C[C@@H](C)NC(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1	ACS Med Chem Lett	2021.0	CHEMBL4798111	>	>	IC50	nM	50000.0	IC50	uM	50.0
Inhibition of CYP3A4 (unknown origin)	C[C@@H](NC(=O)c1ccc(F)cc1)c1ccc2c(n1)CCCN2C(=O)c1cccc(Cl)c1	ACS Med Chem Lett	2021.0	CHEMBL4744727	=	=	IC50	nM	20000.0	IC50	uM	20.0
Inhibition of CYP3A4 (unknown origin)	C[C@@H](NC(=O)c1ccc(F)cc1)c1ccc2c(n1)CCCN2C(=O)OC1CC1	ACS Med Chem Lett	2021.0	CHEMBL4749009	=	=	IC50	nM	60000.0	IC50	uM	60.0
Inhibition of CYP3A4 (unknown origin)	C[C@@H](NC(=O)c1ccc(F)cc1)c1ccc2c(n1)CCCN2c1ccnc(C(F)(F)F)n1	ACS Med Chem Lett	2021.0	CHEMBL4783395	=	=	IC50	nM	43000.0	IC50	uM	43.0
Inhibition of CYP3A4 (unknown origin)	Cc1c(-c2cc(F)c(N)cc2F)ccc2c3ocnc3c(=O)n(C3CC3)c12	RSC Med Chem	2020.0	CHEMBL4747990	>	>	IC50	nM	30000.0	IC50	uM	30.0
Inhibition of CYP3A4 (unknown origin)	Cc1c(-c2cc(F)c(N)cc2F)ccc2c3oc(CN)nc3c(=O)n(C3CC3)c12	RSC Med Chem	2020.0	CHEMBL4764598	=	=	IC50	nM	12900.0	IC50	uM	12.9
Inhibition of CYP3A4 (unknown origin)	Cc1c(-c2cnc3[nH]ncc3c2)ccc2c3oc(CN)nc3c(=O)n(C3CC3)c12	RSC Med Chem	2020.0	CHEMBL4787847	=	=	IC50	nM	22600.0	IC50	uM	22.6
Inhibition of CYP3A4 (unknown origin)	Cc1c(-c2ccc3[nH]ncc3c2)ccc2c3oc(CN)nc3c(=O)n(C3CC3)c12	RSC Med Chem	2020.0	CHEMBL4743440	=	=	IC50	nM	1300.0	IC50	uM	1.3
Inhibition of CYP3A4 (unknown origin)	Cc1nc2c(=O)n(C3CC3)c3c(Cl)c(N4CC[C@@H]([C@H](C)N)C4)c(F)cc3c2o1	RSC Med Chem	2020.0	CHEMBL4786331	=	=	IC50	nM	17500.0	IC50	uM	17.5
Inhibition of CYP3A4 in human liver microsomes measured after 30 mins	CNc1nc(Nc2ccc(-n3cnc(C)n3)c(OC)c2)nc2c1CC[C@H]2c1ccc(F)cc1	ACS Med Chem Lett	2019.0	CHEMBL4209316	=	=	IC50	nM	200.0	IC50	uM	0.2
Time dependent inhibition of CYP3A4 in human liver microsomes assessed as inhibition constant	CNc1nc(Nc2ccc(-n3cnc(C)n3)c(OC)c2)nc2c1CC[C@H]2c1ccc(F)cc1	ACS Med Chem Lett	2019.0	CHEMBL4209316	=	=	Ki	nM	83000.0	Ki	uM	83.0
Inhibition of CYP3A4 in human liver microsomes using testosterone as substrate measured after 15 mins in presence of NADPH by LC-MS/MS analysis	Cc1cc(-c2ccnc(Nc3cnn(C)c3)n2)ccc1CNC(=O)N1CC(OC(C)C)C1	J Med Chem	2020.0	CHEMBL4744041	>	>	IC50	nM	25000.0	IC50	uM	25.0
